                                                                   filename         r1         r2         r3         r4         r5    step_volume    gmsh_volume      nodes   elements     pre_time    biax_time   shear_time   total_time     biax_react          E_eff    shear_react          G_eff
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        fcc[r1=6.808_r2=6.796_r3=1.288_r4=8.653_r5=2.519_vol=89093.977].msh     6.8080     6.7960     1.2880     8.6530     2.5190     89093.9770     88941.1761     324937    1815521      11.2761      12.2895      17.6127      41.1881       329.4742        16.4737       152.7119         7.6356
       fcc[r1=6.810_r2=2.210_r3=8.495_r4=4.997_r5=7.069_vol=107412.097].msh     6.8100     2.2100     8.4950     4.9970     7.0690    107412.0970    107305.3953     276988    1554230       8.2135      10.0577      13.4644      31.7438       402.1353        20.1068       181.7676         9.0884
        fcc[r1=6.810_r2=6.605_r3=2.426_r4=3.009_r5=5.702_vol=81087.077].msh     6.8100     6.6050     2.4260     3.0090     5.7020     81087.0770     80943.9101     309748    1714227       8.8003      10.6456      16.5335      35.9880       297.6993        14.8850       138.0421         6.9021
        fcc[r1=6.810_r2=7.485_r3=8.797_r4=1.095_r5=1.187_vol=79387.590].msh     6.8100     7.4850     8.7970     1.0950     1.1870     79387.5900     79249.5467     321179    1749894       8.5831      10.7334      16.6020      35.9268       302.0317        15.1016       130.2679         6.5134
       fcc[r1=6.810_r2=9.762_r3=8.655_r4=7.409_r5=3.132_vol=139764.725].msh     6.8100     9.7620     8.6550     7.4090     3.1320    139764.7250    139563.5816     343206    1950992      10.7482      14.6809      17.2311      42.6703       570.4172        28.5209       246.9400        12.3470
       fcc[r1=6.812_r2=6.030_r3=2.602_r4=7.676_r5=7.040_vol=110396.744].msh     6.8120     6.0300     2.6020     7.6760     7.0400    110396.7440    110206.1731     281212    1580329       8.3853      10.3837      13.6695      32.4467       416.1946        20.8097       188.6239         9.4312
       fcc[r1=6.814_r2=6.028_r3=7.404_r4=5.561_r5=4.426_vol=111174.410].msh     6.8140     6.0280     7.4040     5.5610     4.4260    111174.4100    111005.6694     283435    1597270       8.4881      10.5093      13.7207      32.7264       423.4945        21.1747       192.6925         9.6346
       fcc[r1=6.815_r2=5.913_r3=1.994_r4=9.912_r5=5.439_vol=110177.522].msh     6.8150     5.9130     1.9940     9.9120     5.4390    110177.5220    109988.1056     280066    1574216       8.3795      10.2639      13.1529      31.8047       415.0700        20.7535       188.2733         9.4137
       fcc[r1=6.815_r2=6.750_r3=5.063_r4=1.403_r5=8.262_vol=100601.413].msh     6.8150     6.7500     5.0630     1.4030     8.2620    100601.4130    100422.6374     265661    1483957       7.8631       9.3195      12.8253      30.0158       376.8096        18.8405       173.4255         8.6713
       fcc[r1=6.815_r2=9.546_r3=4.732_r4=9.444_r5=5.902_vol=147615.922].msh     6.8150     9.5460     4.7320     9.4440     5.9020    147615.9220    147404.9223     347871    1995688      11.1927      15.4691      18.0487      44.7210       597.7205        29.8860       260.1609        13.0080
        fcc[r1=6.817_r2=9.328_r3=2.665_r4=2.175_r5=3.993_vol=81200.442].msh     6.8170     9.3280     2.6650     2.1750     3.9930     81200.4420     81047.6382     321496    1768620       8.9493      11.0183      16.9979      36.9744       305.7571        15.2879       137.3043         6.8652
       fcc[r1=6.818_r2=5.979_r3=7.549_r4=5.824_r5=2.359_vol=100770.359].msh     6.8180     5.9790     7.5490     5.8240     2.3590    100770.3590    100615.8335     268497    1500054       7.8742       9.4051      13.0770      30.3640       381.2109        19.0605       173.5029         8.6751
       fcc[r1=6.819_r2=7.230_r3=7.752_r4=8.933_r5=7.133_vol=156577.287].msh     6.8190     7.2300     7.7520     8.9330     7.1330    156577.2870    156365.7854     281661    1609029       9.0212      11.3250      13.0266      33.3815       642.8842        32.1442       274.8726        13.7436
        fcc[r1=6.819_r2=9.849_r3=3.185_r4=1.370_r5=5.380_vol=89556.980].msh     6.8190     9.8490     3.1850     1.3700     5.3800     89556.9800     89391.3200     336879    1871598       9.6853      12.1973      17.8854      39.7774       339.7612        16.9881       153.2614         7.6631
       fcc[r1=6.821_r2=7.818_r3=4.599_r4=6.196_r5=5.546_vol=115590.600].msh     6.8210     7.8180     4.5990     6.1960     5.5460    115590.6000    115401.0558     290711    1641515       8.8314      10.5543      14.1392      33.5333       443.5280        22.1764       201.1929        10.0596
        fcc[r1=6.822_r2=5.484_r3=2.644_r4=7.562_r5=5.129_vol=97324.811].msh     6.8220     5.4840     2.6440     7.5620     5.1290     97324.8110     97141.6696     260989    1456380       7.6025       9.0467      12.3498      29.0065       360.5079        18.0254       166.2321         8.3116
       fcc[r1=6.822_r2=5.674_r3=7.201_r4=3.799_r5=6.063_vol=107896.823].msh     6.8220     5.6740     7.2010     3.7990     6.0630    107896.8230    107727.1037     275392    1549861       8.2848       9.9764      13.2956      31.5646       407.7972        20.3899       186.6015         9.3301
       fcc[r1=6.824_r2=7.443_r3=6.915_r4=1.782_r5=6.947_vol=109257.272].msh     6.8240     7.4430     6.9150     1.7820     6.9470    109257.2720    109076.9456     281700    1582563       8.4262      10.2820      13.7186      32.4351       417.0951        20.8548       189.9227         9.4961
       fcc[r1=6.824_r2=7.919_r3=6.947_r4=8.840_r5=4.570_vol=139193.295].msh     6.8240     7.9190     6.9470     8.8400     4.5700    139193.2950    139006.5422     333458    1905593      10.5507      13.8596      17.0539      41.4742       555.8374        27.7919       244.2779        12.2139
